player1,point_no,next_three,win_or_not,p1_sets_leading,p1_games_leading_1,p1_score_leading_1,1_server,p1_ace,p1_winner,p1_double_fault,p1_unf_err,p1_break_pt,p1_break_pt_won,p1_break_pt_missed,impact_next,points_to_win
Carlos Alcaraz,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,2,0.75,1,0,0,-0.333333333,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,3,0.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,4,0.55,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,5,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,6,0.25,0,0,0,0.333333333,0,0,0,0,0,1,0,1,0,0.142857143
Carlos Alcaraz,7,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,8,0,1,0,0,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.285714286
Carlos Alcaraz,10,0,0,0,0,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,11,0.2,0,0,-0.2,0,1,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,12,0.45,0,0,-0.2,-0.333333333,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,13,0.8,0,0,-0.2,-0.666666667,1,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,14,0.55,1,0,-0.2,-1,1,0,0,0,0,0,0,0,1,0.714285714
Carlos Alcaraz,15,0.2,1,0,-0.2,-0.666666667,1,0,1,0,0,0,0,0,1,0.571428571
Carlos Alcaraz,16,0.45,0,0,-0.2,-0.333333333,1,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,17,0.8,0,0,-0.4,0,0,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,18,0.55,1,0,-0.4,-0.333333333,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,19,0,1,0,-0.4,0,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,20,0,0,0,-0.4,0.333333333,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,21,0.2,0,0,-0.4,0,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,22,0.25,0,0,-0.4,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,23,0.55,0,0,-0.6,0,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,24,0.2,1,0,-0.6,-0.333333333,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,25,0.45,0,0,-0.6,0,1,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,26,0.8,0,0,-0.6,-0.333333333,1,0,0,0,1,0,0,0,0,0.428571429
Carlos Alcaraz,27,0.55,1,0,-0.6,-0.666666667,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,28,0,1,0,-0.6,-0.333333333,1,0,1,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,29,0,0,0,-0.6,0,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,30,0.2,0,0,-0.6,-0.333333333,1,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,31,0.25,0,0,-0.8,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,32,0.55,0,0,-0.8,-0.333333333,0,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,33,0.2,1,0,-0.8,-0.666666667,0,0,1,0,0,0,0,0,1,0.571428571
Carlos Alcaraz,34,0.45,0,0,-0.8,-0.333333333,0,0,0,0,1,0,0,0,1,0.428571429
Carlos Alcaraz,35,0.8,0,0,-0.8,-0.666666667,0,0,0,0,0,0,0,0,1,0.571428571
Carlos Alcaraz,36,0.55,1,0,-1,0,1,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,37,0.2,1,0,-1,0.333333333,1,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,38,0.45,0,0,-1,0.666666667,1,0,0,0,1,0,0,0,0,0.285714286
Carlos Alcaraz,39,0.8,0,0,-1,0.333333333,1,0,0,1,1,0,0,0,1,0.285714286
Carlos Alcaraz,40,0.55,1,0,-1,0,1,0,1,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,41,0,1,0,-1,0.333333333,1,0,1,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,42,0,0,0,-0.8,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,43,0.2,0,0,-0.8,-0.333333333,0,0,0,0,0,0,0,0,1,0.571428571
Carlos Alcaraz,44,0.25,0,0,-0.8,-0.666666667,0,0,0,0,0,0,0,0,1,0.571428571
Carlos Alcaraz,45,0.75,0,0,-0.8,-1,0,0,0,0,0,0,0,0,1,0.714285714
Carlos Alcaraz,46,0.45,1,-1,0,0,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,47,1,0,-1,0,0.333333333,1,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,48,1,1,-1,0,0,1,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,49,1,1,-1,0,0.333333333,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,50,0.8,1,-1,0,0.666666667,1,0,0,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,51,0.55,1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,52,0,1,-1,0.2,0.333333333,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,53,0.2,0,-1,0.2,0.666666667,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,54,0.45,0,-1,0.2,0.333333333,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,55,0.8,0,-1,0.2,0,0,0,0,0,1,0,0,0,0,0.285714286
Carlos Alcaraz,56,0.75,1,-1,0.2,-0.333333333,0,0,1,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,57,0.45,1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,58,0.8,0,-1,0.2,0.333333333,0,0,0,0,0,1,0,1,1,0.142857143
Carlos Alcaraz,59,0.75,1,-1,0.2,0,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,60,0.45,1,-1,0.2,0.333333333,0,0,0,0,0,1,1,0,1,0.142857143
Carlos Alcaraz,61,0.8,0,-1,0.4,0,1,0,0,1,1,0,0,0,0,0.571428571
Carlos Alcaraz,62,0.75,1,-1,0.4,-0.333333333,1,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,63,0.25,1,-1,0.4,0,1,0,1,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,64,0.55,0,-1,0.4,0.333333333,1,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,65,0,1,-1,0.4,0,1,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,66,0.2,0,-1,0.4,0.333333333,1,0,0,0,1,0,0,0,1,0.142857143
Carlos Alcaraz,67,0.45,0,-1,0.4,0,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,68,0.8,0,-1,0.4,-0.333333333,1,0,0,0,1,0,0,0,1,0.428571429
Carlos Alcaraz,69,0.55,1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,70,0.2,1,-1,0.2,0.333333333,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,71,0.25,0,-1,0.2,0.666666667,0,0,0,0,1,0,0,0,0,0.285714286
Carlos Alcaraz,72,0.55,0,-1,0.2,0.333333333,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,73,0,1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,74,0,0,-1,0.2,0.333333333,0,0,0,0,1,1,0,1,1,0.142857143
Carlos Alcaraz,75,0.2,0,-1,0.2,0,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,76,0.45,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,77,1,0,-1,0,0,1,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,78,0.8,1,-1,0,-0.333333333,1,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,79,0.55,1,-1,0,0,1,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,80,0.2,1,-1,0,0.333333333,1,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,81,0.25,0,-1,0,0.666666667,1,0,0,0,0,0,0,0,0,0.142857143
Carlos Alcaraz,82,0.75,0,-1,0,0.333333333,1,0,0,0,0,0,0,0,0,0.142857143
Carlos Alcaraz,83,0.45,1,-1,0,0,1,0,1,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,84,1,0,-1,0,0.333333333,1,0,0,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,85,1,1,-1,0,0,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,86,0.8,1,-1,0,0.333333333,1,0,0,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,87,0.55,1,-1,0.2,0,0,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,88,0,1,-1,0.2,0.333333333,0,0,1,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,89,0,0,-1,0.2,0.666666667,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,90,0.2,0,-1,0.2,0.333333333,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,91,0.45,0,-1,0.2,0,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,92,1,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,93,1,1,-1,0,0,1,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,94,0.8,1,-1,0,0.333333333,1,0,1,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,95,0.75,1,-1,0,0.666666667,1,0,1,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,96,0.25,1,-1,0,1,1,1,1,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,97,0.55,0,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,98,0,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,99,0,0,-1,0.2,0,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,100,0.2,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,101,0.45,0,-1,0.2,-0.666666667,0,0,0,0,1,0,0,0,1,0.571428571
Carlos Alcaraz,102,1,0,-1,0,0,1,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,103,1,1,-1,0,-0.333333333,1,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,104,1,1,-1,0,0,1,1,1,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,105,0.8,1,-1,0,0.333333333,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,106,0.55,1,-1,0,0.666666667,1,0,0,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,107,0.2,1,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,108,0.25,0,-1,0.2,0.333333333,0,0,0,0,1,0,0,0,0,0.428571429
Carlos Alcaraz,109,0.75,0,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,110,0.25,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,111,0.55,0,-1,0.2,0,0,0,0,0,1,0,0,0,0,0.285714286
Carlos Alcaraz,112,0,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,113,0.2,0,-1,0.2,0,0,0,0,0,1,0,0,0,1,0.285714286
Carlos Alcaraz,114,0.45,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,115,1,0,-1,0,0,1,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,116,1,1,-1,0,-0.333333333,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,117,0.8,1,-1,0,0,1,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,118,0.75,1,-1,0,0.333333333,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,119,0.25,1,-1,0,0.666666667,1,0,0,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,120,0.75,0,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,121,0.25,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,122,0.55,0,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,123,0,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,124,0,0,-1,0.2,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,125,0,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,126,0.2,0,-1,0,0,1,0,0,0,1,0,0,0,0,1
Carlos Alcaraz,127,0.45,0,-1,0,-0.333333333,0,0,0,0,0,0,0,0,1,1
Carlos Alcaraz,128,1,0,-1,0,-0.666666667,0,0,0,0,0,0,0,0,0,1
Carlos Alcaraz,129,0.8,1,-1,0,-1,1,0,0,0,0,0,0,0,1,1
Carlos Alcaraz,130,0.75,1,-1,0,-0.666666667,1,1,1,0,0,0,0,0,0,0.857142857
Carlos Alcaraz,131,0.45,1,-1,0,-0.333333333,0,0,0,0,0,0,0,0,1,0.714285714
Carlos Alcaraz,132,0.8,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,133,0.55,1,-1,0,-0.333333333,1,0,1,0,0,0,0,0,1,0.571428571
Carlos Alcaraz,134,0.2,1,-1,0,0,1,0,1,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,135,0.45,0,-1,0,0,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,136,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,137,1,1,-1,0,-0.666666667,1,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,138,0.8,1,-1,0,0,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,139,0.55,1,-1,0,0.333333333,0,0,1,0,0,0,0,0,0,0.142857143
Carlos Alcaraz,140,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,141,0.45,0,0,0,0.333333333,0,0,0,0,1,0,0,0,0,0.428571429
Carlos Alcaraz,142,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,143,0.75,1,0,0,-0.333333333,0,0,1,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,144,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286
Carlos Alcaraz,145,0.8,0,0,0,0.333333333,0,0,0,0,1,1,0,1,1,0.142857143
Carlos Alcaraz,146,0.75,1,0,0,0,0,0,1,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,147,0.45,1,0,0,0.333333333,0,0,0,0,0,1,1,0,1,0.142857143
Carlos Alcaraz,148,1,0,0,0.2,0,1,0,0,0,1,0,0,0,0,0.571428571
Carlos Alcaraz,149,0.8,1,0,0.2,-0.333333333,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,150,0.75,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,151,0.25,1,0,0.2,0.333333333,1,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,152,0.75,0,0,0.2,0.666666667,1,0,0,0,1,0,0,0,1,0.142857143
Carlos Alcaraz,153,0.45,1,0,0.2,0.333333333,1,0,0,0,0,0,0,0,1,0.142857143
Carlos Alcaraz,154,0.8,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,155,0.55,1,0,0.4,-0.333333333,0,0,1,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,156,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0.428571429
Carlos Alcaraz,157,0.2,0,0,0.4,0.333333333,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,158,0.25,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0.285714286
Carlos Alcaraz,159,0.55,0,0,0.4,-0.333333333,0,0,0,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,160,0,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,161,0.2,0,0,0.2,0.333333333,1,0,0,0,1,0,0,0,0,0.428571429
Carlos Alcaraz,162,0.45,0,0,0.2,0,1,0,0,0,1,0,0,0,0,0.428571429
Carlos Alcaraz,163,1,0,0,0.2,-0.333333333,1,0,0,0,1,0,0,0,0,0.428571429
Carlos Alcaraz,164,1,1,0,0.2,-0.666666667,1,0,0,0,0,0,0,0,0,0.571428571
Carlos Alcaraz,165,1,1,0,0.2,-0.333333333,1,0,1,0,0,0,0,0,1,0.428571429
Carlos Alcaraz,166,0.8,1,0,0.2,0,1,0,1,0,0,0,0,0,1,0.285714286
